Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
16104;Paul Valery - Victor Hugo;OUI;35;31;3;2;1;OUI;OUI;2025-10-18T18:39:26+02:00;48.87137406080164, 2.2887128591537476;Paris;75056;
15113;Arsonval - Falguière;OUI;25;20;4;2;2;OUI;OUI;2025-10-18T18:39:19+02:00;48.84040040365445, 2.313117867297474;Paris;75056;
20033;Etienne Dolet - Place Maurice Chevalier;OUI;47;37;9;2;7;OUI;OUI;2025-10-18T18:35:58+02:00;48.86798303359366, 2.3851405311143026;Paris;75056;
16022;Jean Bologne - Passy;OUI;19;16;1;0;1;OUI;OUI;2025-10-18T18:36:14+02:00;48.857566889784465, 2.280027395306772;Paris;75056;
30005;Convention - Campus de Bobigny;OUI;32;12;19;12;7;OUI;OUI;2025-10-18T18:39:01+02:00;48.914920058264, 2.4172238067445;Bobigny;93008;
19001;Crimée - Ourcq;OUI;56;43;6;2;4;OUI;OUI;2025-10-18T18:35:22+02:00;48.894104140316, 2.3729460884673;Paris;75056;
21510;Fontaine du Tertre - Calvaire;OUI;24;17;5;3;2;OUI;OUI;2025-10-18T18:39:59+02:00;48.8702539, 2.2187778;Suresnes;92073;
13023;Bobillot - Moulin des Prés;OUI;28;25;2;1;1;OUI;OUI;2025-10-18T18:40:06+02:00;48.828657346203, 2.353020646317;Paris;75056;
13008;Place d'Italie - Soeur Rosalie;OUI;52;46;5;1;4;OUI;OUI;2025-10-18T18:40:38+02:00;48.831908520394, 2.3546943448098;Paris;75056;
12040;Porte de Charenton;OUI;67;51;14;7;7;OUI;OUI;2025-10-18T18:40:39+02:00;48.831240105856, 2.3989107459784;Paris;75056;
1201;Perrault - Place du Louvre;OUI;28;13;14;11;3;OUI;OUI;2025-10-18T18:39:23+02:00;48.860273568996, 2.3412468419093;Paris;75056;
6020;Place Saint-André des Arts;OUI;37;4;31;14;17;OUI;OUI;2025-10-18T18:40:21+02:00;48.852886173881, 2.3426544293761;Paris;75056;
21511;Marcel Monge - Marcel Dassault;OUI;46;15;31;31;0;OUI;OUI;2025-10-18T18:40:25+02:00;48.86096384533371, 2.2246733296048142;Suresnes;92073;
21007;Rond-Point Rhin et Danube;OUI;53;42;9;6;3;OUI;OUI;2025-10-18T18:39:20+02:00;48.840452820991764, 2.2280225157737736;Boulogne-Billancourt;92012;
21033;Sèvres - Maréchal Juin;OUI;18;9;9;8;1;OUI;OUI;2025-10-18T18:39:24+02:00;48.8324305, 2.2292812;Boulogne-Billancourt;92012;
21016;Point du Jour - Jean Jaurès;OUI;40;26;14;13;1;OUI;OUI;2025-10-18T18:40:26+02:00;48.828753141436465, 2.245911467014621;Boulogne-Billancourt;92012;
8031;Jean Mermoz - Champs-Elysées;OUI;49;44;4;2;2;OUI;OUI;2025-10-18T18:40:38+02:00;48.869689856852, 2.3107324540615;Paris;75056;
11018;Saint-Maur - République;OUI;50;33;15;5;10;OUI;OUI;2025-10-18T18:37:45+02:00;48.864185861455, 2.3783174157143;Paris;75056;
22703;Place Jean Mermoz;OUI;30;4;25;18;7;OUI;OUI;2025-10-18T18:37:20+02:00;48.9220937, 2.2718348;Bois-Colombes;92009;
21107;Bertrand Sincholle - Henri Barbusse;OUI;23;14;5;2;3;OUI;OUI;2025-10-18T18:38:12+02:00;48.89925982394349, 2.3042294383049016;Clichy;92024;
25009;Place des Arts - Jean Mermoz;OUI;20;8;12;12;0;OUI;OUI;2025-10-18T18:40:25+02:00;48.880391139734, 2.1832160452221;Rueil-Malmaison;92063;
5031;Lacépède - Linné;OUI;54;42;11;8;3;OUI;OUI;2025-10-18T18:35:50+02:00;48.8437035476636, 2.354651279747486;Paris;75056;
41101;Paul Doumer - Stalingrad;OUI;24;22;2;1;1;OUI;OUI;2025-10-18T18:40:26+02:00;48.806518992199, 2.3368880152702;Arcueil;94003;
6009;Guynemer - Jardin du Luxembourg;OUI;36;32;3;0;3;OUI;OUI;2025-10-18T18:38:08+02:00;48.8466127, 2.3325478;Paris;75056;
26010;Louis Armand - Bernard Palissy;OUI;21;3;17;13;4;OUI;OUI;2025-10-18T18:40:27+02:00;48.916974, 2.313384;Asnières-sur-Seine;92004;
17050;Batignolles - Abel Truchet;OUI;28;24;4;1;3;OUI;OUI;2025-10-18T18:40:20+02:00;48.883103904582, 2.3238347490884;Paris;75056;
20030;Ménilmontant - Père Lachaise;OUI;41;36;3;1;2;OUI;OUI;2025-10-18T18:39:55+02:00;48.863287291502, 2.3869940266013;Paris;75056;
13013;Saint-Marcel - Hôpital;OUI;21;3;14;5;9;OUI;OUI;2025-10-18T18:40:37+02:00;48.839504424583, 2.3609894170229;Paris;75056;
20035;Pyrénées - Ménilmontant;OUI;26;24;1;0;1;OUI;OUI;2025-10-18T18:40:36+02:00;48.8693268535238, 2.395084574818611;Paris;75056;
8044;Alfred de Vigny - Place du Général Brocard;OUI;33;25;8;5;3;OUI;OUI;2025-10-18T18:30:55+02:00;48.87836138361425, 2.305254448220567;Paris;75056;
23106;Pavé des Gardes - Charles Vaillant;OUI;20;19;1;0;1;OUI;OUI;2025-10-18T18:35:10+02:00;48.81168551728, 2.2111820107205;Sèvres;92072;
51007;Résistance - Romain Rolland;OUI;28;15;13;8;5;OUI;OUI;2025-10-18T18:31:54+02:00;48.950873482371, 2.2310190077797;Argenteuil;95018;
20037;Gambetta - Saint Fargeau;OUI;24;23;1;0;1;OUI;OUI;2025-10-18T18:38:35+02:00;48.871244610447015, 2.4039056897163396;Paris;75056;
17036;Place Tristan Bernard;OUI;28;25;0;0;0;OUI;OUI;2025-10-18T18:40:39+02:00;48.8794936, 2.2915423;Paris;75056;
9029;Saint-Lazare - Place d'Estienne d'Orves;OUI;39;26;11;4;7;OUI;OUI;2025-10-18T18:38:13+02:00;48.8768345, 2.3329067;Paris;75056;
11040;Temple - Jean-Pierre Timbaud;OUI;36;3;32;17;15;OUI;OUI;2025-10-18T18:39:45+02:00;48.86446597201, 2.3660597205162;Paris;75056;
48011;Epi d'Or - Chevilly;OUI;20;14;6;1;5;OUI;OUI;2025-10-18T18:40:40+02:00;48.781109786782, 2.3549050362061;Villejuif;94076;
11038;Temple - Charlot;OUI;45;4;37;28;9;OUI;OUI;2025-10-18T18:40:27+02:00;48.865709343796, 2.3652737250724;Paris;75056;
